                                                           recipe_name                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            directions                                                                                                                                                                                                                                                  nutrition
                               Peachy Bread Pudding with Caramel Sauce                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Preheat an oven to 325 degrees F (165 degrees C). Grease a 9x13-inch baking dish. Chop the peaches and lightly mash them in a mixing bowl. Combine the sweetened condensed milk and the eggs; add them to the peaches and mix well. Stir in the hot water, melted butter, cinnamon, and vanilla. Stir the French bread into to the custard mixture until the bread is completely moistened. Turn the pudding into the prepared baking dish. Bake until a knife inserted in the center of the pudding comes out clean, about 1 hour and 10 minutes. While the pudding is baking, combine the brown sugar, 1/2 cup butter, corn syrup, and rum in a saucepan. Bring to a boil over medium heat and simmer for 3 to 4 minutes or until just slightly thickened. Let cool slightly. Remove the pudding from the oven and let it cool for about ten minutes before serving. Serve warm with the caramel sauce. Cool and cover any leftover pudding and store it in the refrigerator.                 Total Fat 20g 25%, Saturated Fat 12g 58%, Cholesterol 106mg 35%, Sodium 450mg 20%, Total Carbohydrate 61g 22%, Dietary Fiber 1g 4%, Total Sugars 36g, Protein 10g, Vitamin C 12mg 61%, Calcium 158mg 12%, Iron 2mg 11%, Potassium 249mg 5%
                                        Peach and Tomato Caprese Salad                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Whisk olive oil, balsamic vinegar, and 1 pinch flaked salt together in a bowl until dressing is smooth. Alternate tomato slices, peach slices, basil leaves, and mozzarella slices in layers on a platter. Drizzle dressing over salad and sprinkle remaining flaked salt on top.                      Total Fat 19g 24%, Saturated Fat 9g 46%, Cholesterol 45mg 15%, Sodium 569mg 25%, Total Carbohydrate 8g 3%, Dietary Fiber 1g 4%, Total Sugars 7g, Protein 11g, Vitamin C 33mg 163%, Calcium 341mg 26%, Iron 1mg 4%, Potassium 237mg 5%
                                                         Baked Peaches                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Preheat oven to 350 degrees F (175 degrees C). Spread peach slices into a baking dish in a single layer. Stir brown sugar substitute, pecans, flour, and vanilla extract together; spread over the peach slices. Bake in preheated oven until the peaches are heated through, 20 to 30 minutes.                                                  Total Fat 3g 4%, Saturated Fat 0g 2%, Sodium 11mg 0%, Total Carbohydrate 21g 8%, Dietary Fiber 2g 6%, Total Sugars 18g, Protein 1g, Vitamin C 71mg 357%, Calcium 16mg 1%, Iron 1mg 3%, Potassium 120mg 3%
                                                    Banana Peach Bread                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Preheat oven to 350 degrees F (175 degrees C). Grease the bottom of a 5x9-inch loaf pan. Beat white sugar and butter together in a large bowl with an electric mixer until light and fluffy. Add brown sugar and hot chocolate mix; stir well. Place bananas, peach, milk, eggs, and vanilla extract in a blender; blend until smooth. Stir into butter mixture until well incorporated. Mix flour, walnuts, baking soda, and salt together in a separate bowl; stir into banana-butter mixture until flour mixture is just moistened. Pour batter into the prepared loaf pan. Bake in the preheated oven until a toothpick inserted in the center of bread comes out clean, 50 to 60 minutes. Cool in pan for 5 minutes before transferring bread to a wire rack to cool completely.                         Total Fat 9g 12%, Saturated Fat 4g 21%, Cholesterol 39mg 13%, Sodium 279mg 12%, Total Carbohydrate 29g 11%, Dietary Fiber 1g 5%, Total Sugars 14g, Protein 3g, Vitamin C 6mg 28%, Calcium 19mg 1%, Iron 1mg 6%, Potassium 137mg 3%
                                                 Bananerberry Smoothie                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 In a blender combine strawberries, banana, peaches, apples, and ice cream. Blend until smooth. Add ice, pour in milk and blend again until smooth. Serve immediately.                   Total Fat 13g 16%, Saturated Fat 8g 38%, Cholesterol 48mg 16%, Sodium 109mg 5%, Total Carbohydrate 58g 21%, Dietary Fiber 5g 19%, Total Sugars 45g, Protein 7g, Vitamin C 78mg 392%, Calcium 224mg 17%, Iron 1mg 4%, Potassium 698mg 15%
                                          Grandma's Peach French Toast                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             In a saucepan, stir together the brown sugar, butter and water. Bring to a boil, then reduce heat to low, and simmer for 10 minutes, stirring frequently. Pour the brown sugar mixture into a 9x13 inch baking dish, and tilt the dish to cover the entire bottom. Place peaches in a layer over the sugar coating, then top with slices of French bread. In a medium bowl, whisk together the eggs and vanilla. Slowly pour over the bread slices to coat evenly. Sprinkle cinnamon over the top. Cover and refrigerate for 8 hours or overnight. Remove the dish from the refrigerator about 30 minutes before baking to come to room temperature. Preheat the oven to 350 degrees F (175 degrees C). Bake for 25 to 30 minutes in the preheated oven, or until the bread is golden brown. Spoon out portions to serve.                      Total Fat 15g 19%, Saturated Fat 8g 42%, Cholesterol 147mg 49%, Sodium 276mg 12%, Total Carbohydrate 51g 19%, Dietary Fiber 2g 7%, Total Sugars 38g, Protein 7g, Vitamin C 4mg 19%, Calcium 60mg 5%, Iron 2mg 10%, Potassium 242mg 5%
                                                     Fresh Peach Pie I                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Combine sugar, water, cornstarch, butter or margarine, mashed peaches, and nutmeg in a saucepan. Cook over medium heat until clear and thick. Stir in vanilla. Fill pie shell with sliced fresh peaches, alternating with the glaze. Refrigerate.                           Total Fat 9g 12%, Saturated Fat 3g 15%, Cholesterol 4mg 1%, Sodium 136mg 6%, Total Carbohydrate 44g 16%, Dietary Fiber 0g 1%, Total Sugars 31g, Protein 2g, Vitamin C 41mg 206%, Calcium 15mg 1%, Iron 1mg 4%, Potassium 49mg 1%
                                      Mango, Peach and Pineapple Salsa                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Place the mango, peach, pineapple, tomato, onion, red pepper, yellow pepper, and cilantro in a mixing bowl. Stir in the garlic, jalapeno, lime juice, salt, sugar, and water. Cover and refrigerate at least 1 hour before serving.                                                                       Total Fat 0g 0%, Sodium 150mg 7%, Total Carbohydrate 10g 4%, Dietary Fiber 1g 5%, Total Sugars 7g, Protein 1g, Vitamin C 48mg 242%, Calcium 14mg 1%, Iron 0mg 2%, Potassium 199mg 4%
                                               Grandma's Peach Cobbler                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Preheat oven to 350 degrees F (175 degrees C). Place 1/2 cup butter in a casserole dish. Place casserole dish in the preheating oven until butter is melted. Remove. Mix remaining 1/4 cup butter, peaches, 1/2 cup white sugar, brown sugar, cinnamon, nutmeg, and vanilla extract together in a bowl. Spread over melted butter in the casserole dish. Mix remaining 1 cup white sugar, milk, flour, baking powder, and salt together in a bowl to make a smooth batter. Pour over peach mixture. Bake in the preheated oven until golden brown, about 45 minutes. Let stand for 10 minutes before serving.                         Total Fat 15g 19%, Saturated Fat 9g 46%, Cholesterol 39mg 13%, Sodium 133mg 6%, Total Carbohydrate 57g 21%, Dietary Fiber 1g 4%, Total Sugars 46g, Protein 3g, Vitamin C 2mg 8%, Calcium 105mg 8%, Iron 1mg 5%, Potassium 125mg 3%
                                                    Homemade Peach Tea                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Mix 1 cup water, sugar, and peach slices together in a saucepan; bring to a boil. Reduce heat to medium and simmer, crushing peach slices as you stir, until sugar is dissolved, about 5 minutes. Remove saucepan from heat, cover, and allow peaches to infuse syrup, about 30 minutes. Strain to remove peach slices. Bring 6 cups remaining water to a boil in a separate pot. Remove from heat, add tea bags, cover, and steep for about 5 minutes. Remove tea bags from the pot, pour in peach syrup, and cool to room temperature. Refrigerate until ready to serve.                                                                                                                                           Sodium 8mg 0%, Total Carbohydrate 34g 12%, Total Sugars 34g, Vitamin C 1mg 7%, Calcium 9mg 1%, Potassium 17mg 0%
                                                   Spicy Peach Chutney                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    In a large heavy pot, stir together the peaches, raisins, garlic, onion, preserved ginger, chili powder, mustard seed, curry powder, brown sugar and cider vinegar. Wrap the pickling spice in a cheesecloth bag, and place in the pot. Bring to a boil, and cook over medium heat uncovered until the mixture reaches your desired consistency. It will take about 1 1/2 hours to get a good thick sauce. Stir frequently to prevent scorching on the bottom. Remove the spice bag, and ladle into hot sterilized jars. Wipe the rims with a clean moist cloth. Seal with lids and rings, and process in a barely simmering water bath for 10 minutes, or the time recommended by your local extension for your area. The water should cover the jars completely.                                                                           Total Fat 0g 0%, Sodium 5mg 0%, Total Carbohydrate 13g 5%, Dietary Fiber 0g 0%, Total Sugars 11g, Protein 0g, Vitamin C 6mg 32%, Calcium 12mg 1%, Iron 0mg 1%, Potassium 42mg 1%
                                                      Pear Tarte Tatin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Remove refrigerated pie crust from package, and follow manufacturer's suggestions for unrolling crust. Set aside. Combine nutmeg, ginger, and 2 tablespoons sugar in a small bowl. Peel, quarter, and core 4 pears. Slice each quarter into 3 slices, from core end to bottom, and place in a large bowl. Cut remaining pear in half; peel, and core one half and add to the bowl. Peel, core, and slice the other half as directed above and add to the bowl. Drizzle pears with bourbon and sprinkle with spice-sugar mix, tossing to evenly coat. Melt butter in a 9-inch cast-iron skillet over medium heat. Add 2/3 cup white sugar and salt to the melted butter, stirring to combine until mixture bubbles, 2 to 3 minutes. Place the single pear half in the center of the skillet. Fan remaining pear slices around the center, core end to the outside of the skillet and stem end toward the center. If possible, turn the pieces in the same direction. Keep adding pear slices, filling in any gaps, until they are all in the skillet. Reduce heat to medium-low. Cook, undisturbed, until pears are fork-tender and color develops to the liquid, about 20 minutes. Preheat the oven to 375 degrees F (190 degrees C). Place a baking sheet on a rack in the lower third of the oven. Remove skillet from heat and place unbaked pie shell on top of the fruit, using a fork to tuck the edges of the pie shell toward the bottom of the skillet. Place skillet on the prepared baking sheet in the preheated oven. Reduce temperature to 350 degrees F (175 degrees C). Bake until crust is brown, 28 to 30 minutes. Remove from oven. Place a heat-safe plate, larger than the skillet, upside down over the crust. Use oven mitts to grab the plate and skillet together and quickly flip the skillet contents onto the plate; this move is tricky and requires some forearm strength and dexterity. After the flip, if the contents are not centered on the plate, use a spatula to gently move to the center. Add any fruit that remained in the skillet, and drizzle any remaining liquid over the top of the tarte tatin. Allow to sit 15-20 minutes, then serve warm.                        Total Fat 22g 28%, Saturated Fat 8g 39%, Cholesterol 15mg 5%, Sodium 274mg 12%, Total Carbohydrate 58g 21%, Dietary Fiber 5g 18%, Total Sugars 30g, Protein 4g, Vitamin C 4mg 22%, Calcium 16mg 1%, Iron 2mg 8%, Potassium 158mg 3%
                                                   Pear Sour Cream Pie                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Preheat an oven to 350 degrees F (175 degrees C). Roll out the pastry and transfer it to a 9-inch pie plate. Trim any extra dough and crimp the edge. Combine 1/2 cup sugar, sour cream, 1/4 cup flour, egg, vanilla, and salt in a bowl until blended. Fold in the pears. Pour the mixture into the pie plate and bake the pie for 15 minutes. While the pie is baking, prepare the topping: mix the 2/3 cup flour, 1/3 cup sugar, melted butter, and rolled oats together in a bowl. Remove the pie from the oven and sprinkle with the crumble topping. Return the pie to the oven and bake until the filling is set and the crust is brown, about 20 minutes more. Allow to cool and set before serving.                     Total Fat 29g 38%, Saturated Fat 14g 70%, Cholesterol 73mg 24%, Sodium 355mg 15%, Total Carbohydrate 86g 31%, Dietary Fiber 7g 24%, Total Sugars 42g, Protein 8g, Vitamin C 6mg 31%, Calcium 75mg 6%, Iron 3mg 14%, Potassium 309mg 7%
